"s"
"Year","GDP-US $ billion nominal","Population-US million","Total-fed $ billion nominal","","Military defense-fed $ billion nominal","","Veterans-fed $ billion nominal",""
"1800","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","5.308","0.01","a","0.01","a","0.00","a"
"1801","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","5.476","0.01","a","0.00","a","0.00","a"
"1802","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","5.648","0.01","a","0.00","a","0.00","a"
"1803","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","5.826","0.01","a","0.00","a","0.00","a"
"1804","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","6.010","0.01","a","0.00","a","0.00","a"
"1805","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","6.199","0.01","a","0.00","a","0.00","a"
"1806","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","6.395","0.01","a","0.00","a","0.00","a"
"1807","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","6.596","0.01","a","0.00","a","0.00","a"
"1808","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","6.804","0.01","a","0.00","a","0.00","a"
"1809","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","7.019","0.01","a","0.01","a","0.00","a"
"1810","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","7.240","0.01","a","0.00","a","0.00","a"
"1811","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","7.450","0.01","a","0.00","a","0.00","a"
"1812","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","7.666","0.02","a","0.02","a","0.00","a"
"1813","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","7.889","0.03","a","0.03","a","0.00","a"
"1814","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","8.118","0.04","a","0.03","a","0.00","a"
"1815","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","8.354","0.03","a","0.02","a","0.00","a"
"1816","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","8.596","0.03","a","0.02","a","0.00","a"
"1817","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","8.846","0.02","a","0.01","a","0.00","a"
"1818","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","9.102","0.02","a","0.01","a","0.00","a"
"1819","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","9.367","0.02","a","0.01","a","0.00","a"
"1820","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","9.638","0.02","a","0.01","a","0.00","a"
"1821","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","9.921","0.02","a","0.01","a","0.00","a"
"1822","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","10.212","0.02","a","0.01","a","0.00","a"
"1823","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","10.511","0.02","a","0.01","a","0.00","a"
"1824","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","10.819","0.02","a","0.01","a","0.00","a"
"1825","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","11.136","0.02","a","0.01","a","0.00","a"
"1826","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","11.462","0.02","a","0.01","a","0.00","a"
"1827","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","11.798","0.02","a","0.01","a","0.00","a"
"1828","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","12.144","0.02","a","0.01","a","0.00","a"
"1829","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","12.500","0.02","a","0.01","a","0.00","a"
"1830","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","12.866","0.02","a","0.01","a","0.00","a"
"1831","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","13.235","0.02","a","0.01","a","0.00","a"
"1832","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","13.614","0.02","a","0.01","a","0.00","a"
"1833","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","14.005","0.03","a","0.01","a","0.00","a"
"1834","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","14.406","0.02","a","0.01","a","0.00","a"
"1835","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","14.819","0.02","a","0.01","a","0.00","a"
"1836","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","15.244","0.03","a","0.02","a","0.00","a"
"1837","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","15.682","0.04","a","0.02","a","0.00","a"
"1838","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","16.131","0.04","a","0.02","a","0.00","a"
"1839","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","16.594","0.03","a","0.02","a","0.00","a"
"1840","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","17.070","0.03","a","0.01","a","0.00","a"
"1841","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","17.601","0.03","a","0.01","a","0.00","a"
"1842","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","18.149","0.03","a","0.02","a","0.00","a"
"1843","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","18.714","0.02","a","0.01","a","0.00","a"
"1844","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","19.296","0.03","a","0.01","a","0.00","a"
"1845","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","19.897","0.03","a","0.01","a","0.00","a"
"1846","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","20.516","0.03","a","0.02","a","0.00","a"
"1847","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","21.154","0.06","a","0.05","a","0.00","a"
"1848","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","21.813","0.05","a","0.03","a","0.00","a"
"1849","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","22.492","0.05","a","0.02","a","0.00","a"
"1850","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","23.192","0.04","a","0.02","a","0.00","a"
"1851","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","23.909","0.05","a","0.02","a","0.00","a"
"1852","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","24.648","0.05","a","0.02","a","0.00","a"
"1853","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","25.409","0.06","a","0.02","a","0.00","a"
